time,epoch,lr,train_loss,val_loss,val_average_precision,val_average_precision_pass,val_average_precision_drive,val_binary_accuracy,val_binary_accuracy_pass,val_binary_accuracy_drive
2023-05-15 10:33:51.376129,0,0.0005,0.10064769228671977,0.0905916256133032,0.8690816914906296,0.9090338934008786,0.8291294895803806,0.8131328628413623,0.830929733046947,0.7953359926357778
2023-05-15 10:43:20.162804,1,0.001,0.047884359750430955,0.05247879844227455,0.8995062179387758,0.9240789608540605,0.8749334750234911,0.9094814360233201,0.9030377416385394,0.9159251304081006
time,epoch,lr,train_loss,val_loss,val_average_precision,val_average_precision_pass,val_average_precision_drive,val_binary_accuracy,val_binary_accuracy_pass,val_binary_accuracy_drive
2023-05-15 10:55:53.603666,0,0.00095296,0.04076077331781081,0.04951310891820903,0.9017354131711532,0.9259066808189753,0.8775641455233312,0.9139306535747163,0.9076403804848113,0.9202209266646211
2023-05-15 11:05:23.013880,1,0.00082116,0.038848888802497386,0.050481973609250004,0.9033697495478543,0.9262621009516835,0.8804773981440253,0.9143909174593434,0.9079472230745628,0.920834611844124
2023-05-15 11:14:51.818875,2,0.0006307,0.04192230793057636,0.05062749362214997,0.9032196152878973,0.9264477180717792,0.8799915125040153,0.914084074869592,0.9082540656643142,0.9199140840748696
2023-05-15 11:24:21.168943,3,0.0004193,0.043194835156008256,0.050628879237877185,0.9028416461582813,0.9262227086207435,0.879460583695819,0.9148511813439706,0.9091745934335685,0.9205277692543725
2023-05-15 11:33:50.077867,4,0.00022884,0.04035079515632238,0.05091742937241683,0.9024358265613388,0.9265002301245258,0.8783714229981517,0.9145443387542191,0.9082540656643142,0.920834611844124
2023-05-15 11:43:20.489255,5,9.704e-05,0.0421176393897816,0.05125068191480337,0.9016296773365347,0.9259171837983061,0.8773421708747632,0.914084074869592,0.9085609082540657,0.9196072414851182
2023-05-15 11:52:49.594285,6,5e-05,0.04060883315334408,0.05137610287959773,0.901643467890525,0.9257856934412886,0.8775012423397615,0.9145443387542191,0.9088677508438171,0.9202209266646211
